kind,pair,mean_cka,std,n
pairwise,base__phys,0.7303,0.1052,32
pairwise,base__static,0.7391,0.0990,32
pairwise,base__static_perturb,0.7338,0.0988,32
pairwise,base__perturb,0.7167,0.1300,32
pairwise,base__gate,0.7121,0.1122,32
pairwise,base__gate_perturb,0.7060,0.1204,32
pairwise,base__attnobias,0.7249,0.1110,32
pairwise,phys__static,0.7784,0.0952,32
pairwise,phys__static_perturb,0.7754,0.1090,32
pairwise,phys__perturb,0.7720,0.1274,32
pairwise,phys__gate,0.6733,0.1192,32
pairwise,phys__gate_perturb,0.6944,0.1186,32
pairwise,phys__attnobias,0.7756,0.1128,32
pairwise,static__static_perturb,0.8043,0.0934,32
pairwise,static__perturb,0.7957,0.1103,32
pairwise,static__gate,0.6712,0.1104,32
pairwise,static__gate_perturb,0.6881,0.1102,32
pairwise,static__attnobias,0.7853,0.0906,32
pairwise,static_perturb__perturb,0.7837,0.1189,32
pairwise,static_perturb__gate,0.6666,0.1217,32
pairwise,static_perturb__gate_perturb,0.6881,0.1220,32
pairwise,static_perturb__attnobias,0.7802,0.1032,32
pairwise,perturb__gate,0.6584,0.1450,32
pairwise,perturb__gate_perturb,0.6805,0.1434,32
pairwise,perturb__attnobias,0.7726,0.1119,32
pairwise,gate__gate_perturb,0.8031,0.0953,32
pairwise,gate__attnobias,0.6766,0.1144,32
pairwise,gate_perturb__attnobias,0.6928,0.1141,32
pmf_align,base__PMF37,0.0221,0.0237,32
pmf_align,phys__PMF37,0.0242,0.0185,32
pmf_align,static__PMF37,0.0212,0.0139,32
pmf_align,static_perturb__PMF37,0.0230,0.0125,32
pmf_align,perturb__PMF37,0.0244,0.0186,32
pmf_align,gate__PMF37,0.0209,0.0149,32
pmf_align,gate_perturb__PMF37,0.0214,0.0130,32
pmf_align,attnobias__PMF37,0.0230,0.0191,32
paired_d,phys_perturb_minus_base_phys,+0.0417,0.0573,32
paired_t,phys_perturb_minus_base_phys,4.12,,32
paired_d,phys_attnobias_minus_base_phys,+0.0453,0.0455,32
paired_t,phys_attnobias_minus_base_phys,5.63,,32
paired_d,static_static_perturb_minus_base_static,+0.0652,0.0440,32
paired_t,static_static_perturb_minus_base_static,8.39,,32
paired_d,gate_gate_perturb_minus_base_gate,+0.0910,0.0461,32
paired_t,gate_gate_perturb_minus_base_gate,11.16,,32
