family,condition,backbone,train_size,injection,n_seeds,heldout_mean,heldout_std,heldout_per_seed,casp14_mean,casp14_std,casp15_mean,casp15_std,cameo_mean,cameo_std
主实验,500 · baseline,ESM2-650M,500,无,3,0.7502,0.0099,"[0.7409, 0.7492, 0.7606]",0.6242,0.0454,0.5456,0.0129,0.6171,0.0149
主实验,500 · +物理(软查表),ESM2-650M,500,attn-bias 软,3,0.7679,0.0133,"[0.7720, 0.7531, 0.7787]",0.6281,0.0144,0.5476,0.0097,0.6216,0.0126
主实验,500 · +打乱,ESM2-650M,500,attn-bias 打乱,3,0.7619,0.0109,"[0.7618, 0.7511, 0.7729]",0.6134,0.0221,0.5502,0.0171,0.6267,0.0182
主实验,1500 · baseline,ESM2-650M,1500,无,3,0.8679,0.0100,"[0.8609, 0.8634, 0.8793]",0.7020,0.0124,0.6356,0.0134,0.7191,0.0071
主实验,1500 · +物理(软查表),ESM2-650M,1500,attn-bias 软,3,0.8637,0.0022,"[0.8629, 0.8620, 0.8661]",0.6881,0.0118,0.6248,0.0113,0.7228,0.0073
主实验,1500 · +打乱,ESM2-650M,1500,attn-bias 打乱,3,0.8588,0.0106,"[0.8587, 0.8483, 0.8694]",0.6881,0.0176,0.6240,0.0106,0.7113,0.0082
主实验,3000 · baseline,ESM2-650M,3000,无,3,0.8879,0.0090,"[0.8968, 0.8788, 0.8881]",0.7217,0.0053,0.6448,0.0160,0.7504,0.0086
主实验,3000 · +物理(软查表),ESM2-650M,3000,attn-bias 软,3,0.8929,0.0114,"[0.8902, 0.8831, 0.9054]",0.7114,0.0100,0.6569,0.0129,0.7593,0.0045
主实验,3000 · +打乱,ESM2-650M,3000,attn-bias 打乱,3,0.8892,0.0069,"[0.8879, 0.8829, 0.8966]",0.7131,0.0040,0.6460,0.0049,0.7521,0.0112
机制对照,门控(feature-gate),ESM2-650M,500,特征门控,3,0.7645,0.0233,"[0.7435, 0.7896, 0.7605]",0.6305,0.0293,0.5667,0.0135,0.6257,0.0181
机制对照,门控 · +打乱,ESM2-650M,500,门控打乱,3,0.7530,0.0154,"[0.7458, 0.7707, 0.7425]",0.6259,0.0158,0.5647,0.0149,0.6083,0.0036
机制对照,静态偏置(static),ESM2-650M,500,静态 aa 对 bias,3,0.7667,0.0164,"[0.7721, 0.7483, 0.7797]",0.6215,0.0302,0.5685,0.0124,0.6203,0.0198
机制对照,静态 · +打乱,ESM2-650M,500,静态打乱,3,0.7636,0.0091,"[0.7740, 0.7571, 0.7597]",0.6164,0.0160,0.5589,0.0157,0.6180,0.0157
机制对照,轴向无偏置(attn-no-bias),ESM2-650M,500,—,3,0.7598,0.0143,"[0.7477, 0.7560, 0.7757]",,,,,,
机制对照,物理损失(phys-loss),ESM2-650M,500,L_phys,3,0.7487,0.0113,"[0.7383, 0.7608, 0.7471]",,,,,,
ESM2-35M,baseline,ESM2-35M,500,无,3,0.5219,0.0367,"[0.4935, 0.5633, 0.5088]",0.4224,0.0121,0.3859,0.0151,0.3889,0.0069
ESM2-35M,轴向无偏置,ESM2-35M,500,—,3,0.5328,0.0360,"[0.4949, 0.5666, 0.5369]",0.4454,0.0097,0.3924,0.0129,0.4018,0.0231
ESM2-35M,+物理(软查表),ESM2-35M,500,attn-bias 软,3,0.5402,0.0396,"[0.5064, 0.5838, 0.5303]",0.4608,0.0333,0.3811,0.0029,0.4190,0.0216
ESM2-35M,打乱 p0,ESM2-35M,500,打乱 perm#0,3,0.5356,0.0521,"[0.4987, 0.5952, 0.5130]",0.4290,0.0235,0.3811,0.0270,0.4001,0.0075
ESM2-35M,打乱 p1,ESM2-35M,500,打乱 perm#1,3,0.5297,0.0521,"[0.5037, 0.5897, 0.4956]",0.4157,0.0075,0.3773,0.0142,0.3973,0.0159
ESM2-35M,打乱 p2,ESM2-35M,500,打乱 perm#2,3,0.5330,0.0422,"[0.4971, 0.5794, 0.5224]",0.4312,0.0319,0.3959,0.0197,0.3988,0.0128
ESM2-35M,打乱 p3,ESM2-35M,500,打乱 perm#3,3,0.5360,0.0411,"[0.5061, 0.5828, 0.5191]",0.4328,0.0363,0.3896,0.0194,0.4070,0.0064
ESM2-35M,打乱 p4,ESM2-35M,500,打乱 perm#4,3,0.5411,0.0528,"[0.4993, 0.6004, 0.5236]",0.4234,0.0199,0.4125,0.0371,0.4078,0.0228
cb37变体(seed42),3000 · baseline,ESM2-650M,3000,无,1,0.8709,0.0000,[0.8709],,,,,,
cb37变体(seed42),3000 · +软查表,ESM2-650M,3000,attn-bias 软,1,0.8675,0.0000,[0.8675],,,,,,
cb37变体(seed42),3000 · +打乱,ESM2-650M,3000,attn-bias 打乱,1,0.8704,0.0000,[0.8704],,,,,,
cb37变体(seed42),3000 · 静态bias,ESM2-650M,3000,静态 bias,1,0.8723,0.0000,[0.8723],,,,,,
cb37变体(seed42),3000 · phys-loss,ESM2-650M,3000,L_phys,1,0.8754,0.0000,[0.8754],,,,,,
cb37变体(seed42),3000 · 软查表 bs=1.0,ESM2-650M,3000,bias_scale=1.0,1,0.8649,0.0000,[0.8649],,,,,,
cb37变体(seed42),1500 · baseline,ESM2-650M,1500,无,1,0.8242,0.0000,[0.8242],,,,,,
cb37变体(seed42),1500 · +软查表,ESM2-650M,1500,attn-bias 软,1,0.8308,0.0000,[0.8308],,,,,,
cb37变体(seed42),500 · baseline,ESM2-650M,500,无,1,0.7039,0.0000,[0.7039],,,,,,
cb37变体(seed42),500 · +软查表,ESM2-650M,500,attn-bias 软,1,0.6959,0.0000,[0.6959],,,,,,
