family,condition,backbone,train_size,mechanism,seed,heldout_p_at_l5
主实验,500_baseline,ESM2-650M,500,none,0,0.7409
主实验,500_baseline,ESM2-650M,500,none,1,0.7492
主实验,500_baseline,ESM2-650M,500,none,2,0.7606
主实验,500_phys,ESM2-650M,500,attn-bias_soft,0,0.7720
主实验,500_phys,ESM2-650M,500,attn-bias_soft,1,0.7531
主实验,500_phys,ESM2-650M,500,attn-bias_soft,2,0.7787
主实验,500_perturb,ESM2-650M,500,attn-bias_perturbed,0,0.7618
主实验,500_perturb,ESM2-650M,500,attn-bias_perturbed,1,0.7511
主实验,500_perturb,ESM2-650M,500,attn-bias_perturbed,2,0.7729
主实验,1500_baseline,ESM2-650M,1500,none,0,0.8609
主实验,1500_baseline,ESM2-650M,1500,none,1,0.8634
主实验,1500_baseline,ESM2-650M,1500,none,2,0.8793
主实验,1500_phys,ESM2-650M,1500,attn-bias_soft,0,0.8629
主实验,1500_phys,ESM2-650M,1500,attn-bias_soft,1,0.8620
主实验,1500_phys,ESM2-650M,1500,attn-bias_soft,2,0.8661
主实验,1500_perturb,ESM2-650M,1500,attn-bias_perturbed,0,0.8587
主实验,1500_perturb,ESM2-650M,1500,attn-bias_perturbed,1,0.8483
主实验,1500_perturb,ESM2-650M,1500,attn-bias_perturbed,2,0.8694
主实验,3000_baseline,ESM2-650M,3000,none,0,0.8968
主实验,3000_baseline,ESM2-650M,3000,none,1,0.8788
主实验,3000_baseline,ESM2-650M,3000,none,2,0.8881
主实验,3000_phys,ESM2-650M,3000,attn-bias_soft,0,0.8902
主实验,3000_phys,ESM2-650M,3000,attn-bias_soft,1,0.8831
主实验,3000_phys,ESM2-650M,3000,attn-bias_soft,2,0.9054
主实验,3000_perturb,ESM2-650M,3000,attn-bias_perturbed,0,0.8879
主实验,3000_perturb,ESM2-650M,3000,attn-bias_perturbed,1,0.8829
主实验,3000_perturb,ESM2-650M,3000,attn-bias_perturbed,2,0.8966
机制对照,gate,ESM2-650M,500,feature-gate,0,0.7435
机制对照,gate,ESM2-650M,500,feature-gate,1,0.7896
机制对照,gate,ESM2-650M,500,feature-gate,2,0.7605
机制对照,gate_perturb,ESM2-650M,500,gate_perturbed,0,0.7458
机制对照,gate_perturb,ESM2-650M,500,gate_perturbed,1,0.7707
机制对照,gate_perturb,ESM2-650M,500,gate_perturbed,2,0.7425
机制对照,static,ESM2-650M,500,attn-bias-static,0,0.7721
机制对照,static,ESM2-650M,500,attn-bias-static,1,0.7483
机制对照,static,ESM2-650M,500,attn-bias-static,2,0.7797
机制对照,static_perturb,ESM2-650M,500,static_perturbed,0,0.7740
机制对照,static_perturb,ESM2-650M,500,static_perturbed,1,0.7571
机制对照,static_perturb,ESM2-650M,500,static_perturbed,2,0.7597
机制对照,attnobias,ESM2-650M,500,attn-no-bias,0,0.7477
机制对照,attnobias,ESM2-650M,500,attn-no-bias,1,0.7560
机制对照,attnobias,ESM2-650M,500,attn-no-bias,2,0.7757
机制对照,physloss,ESM2-650M,500,phys-loss,0,0.7383
机制对照,physloss,ESM2-650M,500,phys-loss,1,0.7608
机制对照,physloss,ESM2-650M,500,phys-loss,2,0.7471
ESM2-35M,base35m,ESM2-35M,500,none,0,0.4935
ESM2-35M,base35m,ESM2-35M,500,none,1,0.5633
ESM2-35M,base35m,ESM2-35M,500,none,2,0.5088
ESM2-35M,axial35m,ESM2-35M,500,attn-no-bias,0,0.4949
