family,condition,backbone,train_size,seed,epoch,split,p_at_l5,mae_all_valid
主实验,500_baseline,ESM2-650M,500,0,1,valid,0.3095,6.1047
主实验,500_baseline,ESM2-650M,500,0,2,valid,,
主实验,500_baseline,ESM2-650M,500,0,3,valid,,
主实验,500_baseline,ESM2-650M,500,0,4,valid,,
主实验,500_baseline,ESM2-650M,500,0,5,valid,0.6510,4.2245
主实验,500_baseline,ESM2-650M,500,0,6,valid,,
主实验,500_baseline,ESM2-650M,500,0,7,valid,,
主实验,500_baseline,ESM2-650M,500,0,8,valid,,
主实验,500_baseline,ESM2-650M,500,0,9,valid,,
主实验,500_baseline,ESM2-650M,500,0,10,valid,0.7516,3.1129
主实验,500_baseline,ESM2-650M,500,0,11,valid,,
主实验,500_baseline,ESM2-650M,500,0,12,valid,,
主实验,500_baseline,ESM2-650M,500,0,13,valid,,
主实验,500_baseline,ESM2-650M,500,0,14,valid,,
主实验,500_baseline,ESM2-650M,500,0,15,valid,0.7859,3.3780
主实验,500_baseline,ESM2-650M,500,0,16,valid,,
主实验,500_baseline,ESM2-650M,500,0,17,valid,,
主实验,500_baseline,ESM2-650M,500,0,18,valid,,
主实验,500_baseline,ESM2-650M,500,0,19,valid,,
主实验,500_baseline,ESM2-650M,500,0,20,valid,0.8033,3.2283
主实验,500_baseline,ESM2-650M,500,0,21,valid,,
主实验,500_baseline,ESM2-650M,500,0,22,valid,,
主实验,500_baseline,ESM2-650M,500,0,23,valid,,
主实验,500_baseline,ESM2-650M,500,0,24,valid,,
主实验,500_baseline,ESM2-650M,500,0,25,valid,0.7865,3.2693
主实验,500_baseline,ESM2-650M,500,0,26,valid,,
主实验,500_baseline,ESM2-650M,500,0,27,valid,,
主实验,500_baseline,ESM2-650M,500,0,28,valid,,
主实验,500_baseline,ESM2-650M,500,0,29,valid,,
主实验,500_baseline,ESM2-650M,500,0,30,valid,0.7795,3.4378
主实验,500_baseline,ESM2-650M,500,0,31,valid,,
主实验,500_baseline,ESM2-650M,500,0,32,valid,,
主实验,500_baseline,ESM2-650M,500,0,33,valid,,
主实验,500_baseline,ESM2-650M,500,0,34,valid,,
主实验,500_baseline,ESM2-650M,500,0,35,valid,0.7756,3.3889
主实验,500_baseline,ESM2-650M,500,0,36,valid,,
主实验,500_baseline,ESM2-650M,500,0,37,valid,,
主实验,500_baseline,ESM2-650M,500,0,38,valid,,
主实验,500_baseline,ESM2-650M,500,0,39,valid,,
主实验,500_baseline,ESM2-650M,500,0,40,valid,0.7709,3.3861
主实验,500_baseline,ESM2-650M,500,0,final,test,0.7409,3.3333
主实验,500_baseline,ESM2-650M,500,1,1,valid,0.2783,4.9327
主实验,500_baseline,ESM2-650M,500,1,2,valid,,
主实验,500_baseline,ESM2-650M,500,1,3,valid,,
主实验,500_baseline,ESM2-650M,500,1,4,valid,,
主实验,500_baseline,ESM2-650M,500,1,5,valid,0.6529,3.7404
主实验,500_baseline,ESM2-650M,500,1,6,valid,,
主实验,500_baseline,ESM2-650M,500,1,7,valid,,
主实验,500_baseline,ESM2-650M,500,1,8,valid,,
主实验,500_baseline,ESM2-650M,500,1,9,valid,,
主实验,500_baseline,ESM2-650M,500,1,10,valid,0.7486,3.5339
主实验,500_baseline,ESM2-650M,500,1,11,valid,,
主实验,500_baseline,ESM2-650M,500,1,12,valid,,
主实验,500_baseline,ESM2-650M,500,1,13,valid,,
主实验,500_baseline,ESM2-650M,500,1,14,valid,,
主实验,500_baseline,ESM2-650M,500,1,15,valid,0.7590,3.7093
主实验,500_baseline,ESM2-650M,500,1,16,valid,,
主实验,500_baseline,ESM2-650M,500,1,17,valid,,
主实验,500_baseline,ESM2-650M,500,1,18,valid,,
主实验,500_baseline,ESM2-650M,500,1,19,valid,,
主实验,500_baseline,ESM2-650M,500,1,20,valid,0.7534,3.1656
主实验,500_baseline,ESM2-650M,500,1,21,valid,,
主实验,500_baseline,ESM2-650M,500,1,22,valid,,
主实验,500_baseline,ESM2-650M,500,1,23,valid,,
主实验,500_baseline,ESM2-650M,500,1,24,valid,,
主实验,500_baseline,ESM2-650M,500,1,25,valid,0.7440,3.1525
主实验,500_baseline,ESM2-650M,500,1,26,valid,,
主实验,500_baseline,ESM2-650M,500,1,27,valid,,
主实验,500_baseline,ESM2-650M,500,1,28,valid,,
主实验,500_baseline,ESM2-650M,500,1,29,valid,,
主实验,500_baseline,ESM2-650M,500,1,30,valid,0.7412,3.3450
主实验,500_baseline,ESM2-650M,500,1,31,valid,,
主实验,500_baseline,ESM2-650M,500,1,32,valid,,
主实验,500_baseline,ESM2-650M,500,1,33,valid,,
主实验,500_baseline,ESM2-650M,500,1,34,valid,,
主实验,500_baseline,ESM2-650M,500,1,35,valid,0.7293,3.2469
主实验,500_baseline,ESM2-650M,500,1,36,valid,,
主实验,500_baseline,ESM2-650M,500,1,37,valid,,
主实验,500_baseline,ESM2-650M,500,1,38,valid,,
主实验,500_baseline,ESM2-650M,500,1,39,valid,,
主实验,500_baseline,ESM2-650M,500,1,40,valid,0.7315,3.2483
主实验,500_baseline,ESM2-650M,500,1,final,test,0.7492,3.7101
主实验,500_baseline,ESM2-650M,500,2,1,valid,0.2677,5.5065
主实验,500_baseline,ESM2-650M,500,2,2,valid,,
主实验,500_baseline,ESM2-650M,500,2,3,valid,,
主实验,500_baseline,ESM2-650M,500,2,4,valid,,
主实验,500_baseline,ESM2-650M,500,2,5,valid,0.6300,3.9570
主实验,500_baseline,ESM2-650M,500,2,6,valid,,
主实验,500_baseline,ESM2-650M,500,2,7,valid,,
主实验,500_baseline,ESM2-650M,500,2,8,valid,,
主实验,500_baseline,ESM2-650M,500,2,9,valid,,
主实验,500_baseline,ESM2-650M,500,2,10,valid,0.7170,3.9068
主实验,500_baseline,ESM2-650M,500,2,11,valid,,
主实验,500_baseline,ESM2-650M,500,2,12,valid,,
主实验,500_baseline,ESM2-650M,500,2,13,valid,,
主实验,500_baseline,ESM2-650M,500,2,14,valid,,
主实验,500_baseline,ESM2-650M,500,2,15,valid,0.7409,3.6495
主实验,500_baseline,ESM2-650M,500,2,16,valid,,
主实验,500_baseline,ESM2-650M,500,2,17,valid,,
主实验,500_baseline,ESM2-650M,500,2,18,valid,,
主实验,500_baseline,ESM2-650M,500,2,19,valid,,
主实验,500_baseline,ESM2-650M,500,2,20,valid,0.7380,3.6090
主实验,500_baseline,ESM2-650M,500,2,21,valid,,
主实验,500_baseline,ESM2-650M,500,2,22,valid,,
主实验,500_baseline,ESM2-650M,500,2,23,valid,,
主实验,500_baseline,ESM2-650M,500,2,24,valid,,
主实验,500_baseline,ESM2-650M,500,2,25,valid,0.7415,3.5302
主实验,500_baseline,ESM2-650M,500,2,26,valid,,
主实验,500_baseline,ESM2-650M,500,2,27,valid,,
主实验,500_baseline,ESM2-650M,500,2,28,valid,,
主实验,500_baseline,ESM2-650M,500,2,29,valid,,
主实验,500_baseline,ESM2-650M,500,2,30,valid,0.7334,3.4616
主实验,500_baseline,ESM2-650M,500,2,31,valid,,
主实验,500_baseline,ESM2-650M,500,2,32,valid,,
主实验,500_baseline,ESM2-650M,500,2,33,valid,,
主实验,500_baseline,ESM2-650M,500,2,34,valid,,
主实验,500_baseline,ESM2-650M,500,2,35,valid,0.7241,3.3860
主实验,500_baseline,ESM2-650M,500,2,36,valid,,
主实验,500_baseline,ESM2-650M,500,2,37,valid,,
主实验,500_baseline,ESM2-650M,500,2,38,valid,,
主实验,500_baseline,ESM2-650M,500,2,39,valid,,
主实验,500_baseline,ESM2-650M,500,2,40,valid,0.7212,3.4268
主实验,500_baseline,ESM2-650M,500,2,final,test,0.7606,3.6014
主实验,500_phys,ESM2-650M,500,0,1,valid,0.3243,5.6476
主实验,500_phys,ESM2-650M,500,0,2,valid,,
主实验,500_phys,ESM2-650M,500,0,3,valid,,
主实验,500_phys,ESM2-650M,500,0,4,valid,,
主实验,500_phys,ESM2-650M,500,0,5,valid,0.7119,3.8180
主实验,500_phys,ESM2-650M,500,0,6,valid,,
主实验,500_phys,ESM2-650M,500,0,7,valid,,
主实验,500_phys,ESM2-650M,500,0,8,valid,,
