set,target,L,p_at_l5,p_at_l1
casp14,T1024-D1,193,0.8947368264198303,0.7253885865211487
casp14,T1024-D2,198,0.8717948794364929,0.6666666865348816
casp14,T1025-D1,257,1.0,0.8677042722702026
casp14,T1026-D1,146,0.8620689511299133,0.6095890402793884
casp14,T1030-D1,154,0.9666666388511658,0.6168830990791321
casp14,T1030-D2,119,0.5652173757553101,0.4285714328289032
casp14,T1031-D1,95,0.05263157933950424,0.12631578743457794
casp14,T1032-D1,170,0.7941176295280457,0.4058823585510254
casp14,T1033-D1,100,0.05000000074505806,0.12999999523162842
casp14,T1034-D1,158,0.9032257795333862,0.702531635761261
casp14,T1036s1-D1,583,0.5086206793785095,0.25042882561683655
casp14,T1038-D1,114,0.27272728085517883,0.18421052396297455
casp14,T1038-D2,76,0.9333333373069763,0.6052631735801697
casp14,T1039-D1,161,0.15625,0.1428571492433548
casp14,T1046s1-D1,72,0.3571428656578064,0.2777777910232544
casp14,T1046s2-D1,141,0.9285714030265808,0.631205677986145
casp14,T1049-D1,139,0.6666666865348816,0.316546767950058
casp14,T1050-D1,321,0.9375,0.7196261882781982
casp14,T1050-D2,316,0.9523809552192688,0.7848101258277893
casp14,T1050-D3,128,1.0,0.7421875
casp14,T1054-D1,143,0.8571428656578064,0.7412587404251099
casp14,T1056-D1,169,0.939393937587738,0.7041420340538025
casp14,T1057-D1,235,0.914893627166748,0.7063829898834229
casp14,T1064-D1,75,0.13333334028720856,0.09333333373069763
casp14,T1067-D1,221,0.8636363744735718,0.5610859990119934
casp14,T1070-D2,101,0.949999988079071,0.801980197429657
casp14,T1073-D1,59,1.0,0.47457626461982727
casp14,T1079-D1,451,0.7222222089767456,0.49445676803588867
casp14,T1082-D1,73,0.0,0.06849315017461777
casp14,T1089-D1,373,0.9864864945411682,0.8445039987564087
casp14,T1090-D1,196,0.5641025900840759,0.3265306055545807
casp14,T1099-D1,178,0.05714285746216774,0.06741572916507721
casp15,T1104-D1,117,0.3913043439388275,0.18803419172763824
casp15,T1106s1-D1,71,0.4285714328289032,0.11267605423927307
casp15,T1106s2-D1,111,1.0,0.792792797088623
casp15,T1109-D1,214,1.0,0.8130841255187988
casp15,T1119-D1,48,0.0,0.0
casp15,T1120-D1,118,0.695652186870575,0.31355932354927063
casp15,T1120-D2,110,0.1818181872367859,0.04545454680919647
