test_set,target,len,best_pmf,best_id,best_cov,n_id>=25,n_id>=30,n_id>=50,n_id>=90,n_id=100
cameo,6DTD_A,1053,6dtd_a,100.0,1.0,240,66,1,1,1
cameo,6AEF_A,458,6aef_a,100.0,1.0,97,23,1,1,1
cameo,6CK1_D,375,6ck1_a,99.7,1.0,119,30,1,1,0
cameo,6A83_A,357,5zzu_a,96.4,1.03,115,33,1,1,0
cameo,6A9W_A,281,7rr4_a,98.5,1.0,115,26,1,1,0
cameo,6E0M_A,272,6e0o_a,100.0,1.0,115,20,1,1,1
cameo,6A2W_A,166,6a2w_a,100.0,1.0,78,23,1,1,1
cameo,5YA6_B,165,5ya6_a,100.0,1.0,96,13,1,1,1
cameo,6CP8_D,157,6cp8_c,99.4,1.0,103,25,1,1,0
cameo,6D0I_C,159,6d0h_a,99.4,0.99,86,11,1,1,0
cameo,6CP8_B,162,6vek_a,99.4,1.0,136,34,1,1,0
cameo,6CMK_A,375,6ck1_a,40.7,1.0,106,26,0,0,0
cameo,6D7Y_B,155,6d7y_b,97.4,1.03,72,12,1,1,0
cameo,6CB6_A,118,6cb7_a,100.0,0.98,54,13,1,1,1
cameo,5YVQ_B,103,5yvq_b,100.0,1.0,170,25,1,1,1
cameo,6AJJ_A,901,2o7a_a,96.2,0.92,196,53,1,1,0
cameo,6D9M_A,326,2o7a_a,95.4,0.95,122,30,1,1,0
cameo,6G7O_A,350,7xrz_x,100.0,1.0,98,21,1,1,1
cameo,6A9J_B,339,2o7a_a,100.0,0.89,150,43,1,1,1
cameo,6GMA_F,120,7d0e_a,92.7,1.0,92,19,1,1,0
cameo,6D7Y_A,92,6d7y_a,96.7,1.03,175,40,1,1,0
cameo,6CSV_D,86,6csv_a,95.5,1.03,351,82,1,1,0
cameo,6FTO_C,75,6fto_c,100.0,1.0,406,126,1,1,1
cameo,6I1R_B,310,6xbo_a,29.5,0.98,61,16,0,0,0
cameo,6GDJ_B,69,6gdj_a,100.0,1.0,330,90,1,1,1
cameo,6DII_L,616,1m22_a,26.5,0.94,165,38,0,0,0
cameo,6E0K_A,295,6e0o_a,33.1,0.89,93,26,0,0,0
