backbone,benchmark,target_id,seed,permutation,condition,p_at_l5
ESM2-35M,casp14,T1024-D1,0,real,phys35m,0.3421
ESM2-35M,casp14,T1024-D2,0,real,phys35m,0.3077
ESM2-35M,casp14,T1025-D1,0,real,phys35m,0.9804
ESM2-35M,casp14,T1026-D1,0,real,phys35m,0.0345
ESM2-35M,casp14,T1030-D1,0,real,phys35m,0.6000
ESM2-35M,casp14,T1030-D2,0,real,phys35m,0.4348
ESM2-35M,casp14,T1031-D1,0,real,phys35m,0.3684
ESM2-35M,casp14,T1032-D1,0,real,phys35m,0.2353
ESM2-35M,casp14,T1033-D1,0,real,phys35m,0.2500
ESM2-35M,casp14,T1034-D1,0,real,phys35m,0.1935
ESM2-35M,casp14,T1038-D1,0,real,phys35m,0.3636
ESM2-35M,casp14,T1038-D2,0,real,phys35m,0.5333
ESM2-35M,casp14,T1039-D1,0,real,phys35m,0.0312
ESM2-35M,casp14,T1046s1-D1,0,real,phys35m,0.3571
ESM2-35M,casp14,T1046s2-D1,0,real,phys35m,0.7857
ESM2-35M,casp14,T1049-D1,0,real,phys35m,0.0000
ESM2-35M,casp14,T1050-D1,0,real,phys35m,0.7812
ESM2-35M,casp14,T1050-D2,0,real,phys35m,0.8571
ESM2-35M,casp14,T1050-D3,0,real,phys35m,0.8000
ESM2-35M,casp14,T1054-D1,0,real,phys35m,0.8214
ESM2-35M,casp14,T1056-D1,0,real,phys35m,0.7879
ESM2-35M,casp14,T1057-D1,0,real,phys35m,0.7234
ESM2-35M,casp14,T1064-D1,0,real,phys35m,0.0667
ESM2-35M,casp14,T1067-D1,0,real,phys35m,0.5682
ESM2-35M,casp14,T1070-D2,0,real,phys35m,0.2500
ESM2-35M,casp14,T1073-D1,0,real,phys35m,0.6364
ESM2-35M,casp14,T1079-D1,0,real,phys35m,0.2667
ESM2-35M,casp14,T1082-D1,0,real,phys35m,0.1429
ESM2-35M,casp14,T1089-D1,0,real,phys35m,0.8784
ESM2-35M,casp14,T1090-D1,0,real,phys35m,0.1282
ESM2-35M,casp14,T1099-D1,0,real,phys35m,0.0571
ESM2-35M,casp14,T1024-D1,1,real,phys35m,0.6316
ESM2-35M,casp14,T1024-D2,1,real,phys35m,0.4872
ESM2-35M,casp14,T1025-D1,1,real,phys35m,0.9608
ESM2-35M,casp14,T1026-D1,1,real,phys35m,0.2759
ESM2-35M,casp14,T1030-D1,1,real,phys35m,0.4667
ESM2-35M,casp14,T1030-D2,1,real,phys35m,0.4348
ESM2-35M,casp14,T1031-D1,1,real,phys35m,0.1579
ESM2-35M,casp14,T1032-D1,1,real,phys35m,0.5294
ESM2-35M,casp14,T1033-D1,1,real,phys35m,0.0500
ESM2-35M,casp14,T1034-D1,1,real,phys35m,0.3226
ESM2-35M,casp14,T1038-D1,1,real,phys35m,0.1818
ESM2-35M,casp14,T1038-D2,1,real,phys35m,0.7333
ESM2-35M,casp14,T1039-D1,1,real,phys35m,0.1562
ESM2-35M,casp14,T1046s1-D1,1,real,phys35m,0.2143
ESM2-35M,casp14,T1046s2-D1,1,real,phys35m,0.8571
ESM2-35M,casp14,T1049-D1,1,real,phys35m,0.1481
ESM2-35M,casp14,T1050-D1,1,real,phys35m,0.8281
