comparison,protein_id,cka
pairwise:base__phys,T1024-D1,0.7273
pairwise:base__phys,T1024-D2,0.7408
pairwise:base__phys,T1025-D1,0.8384
pairwise:base__phys,T1026-D1,0.6774
pairwise:base__phys,T1030-D1,0.8671
pairwise:base__phys,T1030-D2,0.8039
pairwise:base__phys,T1031-D1,0.7112
pairwise:base__phys,T1032-D1,0.7014
pairwise:base__phys,T1033-D1,0.8056
pairwise:base__phys,T1034-D1,0.7160
pairwise:base__phys,T1036s1-D1,0.4656
pairwise:base__phys,T1038-D1,0.4461
pairwise:base__phys,T1038-D2,0.7073
pairwise:base__phys,T1039-D1,0.7047
pairwise:base__phys,T1046s1-D1,0.7745
pairwise:base__phys,T1046s2-D1,0.7383
pairwise:base__phys,T1049-D1,0.5710
pairwise:base__phys,T1050-D1,0.8360
pairwise:base__phys,T1050-D2,0.8705
pairwise:base__phys,T1050-D3,0.7685
pairwise:base__phys,T1054-D1,0.8173
pairwise:base__phys,T1056-D1,0.7461
pairwise:base__phys,T1057-D1,0.8317
pairwise:base__phys,T1064-D1,0.6998
pairwise:base__phys,T1067-D1,0.6381
pairwise:base__phys,T1070-D2,0.6908
pairwise:base__phys,T1073-D1,0.8153
pairwise:base__phys,T1079-D1,0.7505
pairwise:base__phys,T1082-D1,0.8547
pairwise:base__phys,T1089-D1,0.8158
pairwise:base__phys,T1090-D1,0.5935
pairwise:base__phys,T1099-D1,0.6432
pairwise:base__static,T1024-D1,0.7180
pairwise:base__static,T1024-D2,0.7236
pairwise:base__static,T1025-D1,0.8379
pairwise:base__static,T1026-D1,0.7248
pairwise:base__static,T1030-D1,0.8668
pairwise:base__static,T1030-D2,0.8216
pairwise:base__static,T1031-D1,0.6541
pairwise:base__static,T1032-D1,0.7030
pairwise:base__static,T1033-D1,0.8277
pairwise:base__static,T1034-D1,0.7185
pairwise:base__static,T1036s1-D1,0.5269
pairwise:base__static,T1038-D1,0.4742
pairwise:base__static,T1038-D2,0.7542
pairwise:base__static,T1039-D1,0.5996
pairwise:base__static,T1046s1-D1,0.7779
pairwise:base__static,T1046s2-D1,0.7937
pairwise:base__static,T1049-D1,0.5944
pairwise:base__static,T1050-D1,0.8324
pairwise:base__static,T1050-D2,0.8721
pairwise:base__static,T1050-D3,0.8013
pairwise:base__static,T1054-D1,0.7958
pairwise:base__static,T1056-D1,0.7559
pairwise:base__static,T1057-D1,0.8359
pairwise:base__static,T1064-D1,0.7140
pairwise:base__static,T1067-D1,0.6872
pairwise:base__static,T1070-D2,0.7275
pairwise:base__static,T1073-D1,0.8053
pairwise:base__static,T1079-D1,0.7495
pairwise:base__static,T1082-D1,0.8585
pairwise:base__static,T1089-D1,0.8225
pairwise:base__static,T1090-D1,0.6312
pairwise:base__static,T1099-D1,0.6448
pairwise:base__static_perturb,T1024-D1,0.7391
pairwise:base__static_perturb,T1024-D2,0.7360
pairwise:base__static_perturb,T1025-D1,0.8479
pairwise:base__static_perturb,T1026-D1,0.6728
pairwise:base__static_perturb,T1030-D1,0.8707
pairwise:base__static_perturb,T1030-D2,0.8152
pairwise:base__static_perturb,T1031-D1,0.6941
pairwise:base__static_perturb,T1032-D1,0.7371
pairwise:base__static_perturb,T1033-D1,0.7707
pairwise:base__static_perturb,T1034-D1,0.7213
pairwise:base__static_perturb,T1036s1-D1,0.5267
pairwise:base__static_perturb,T1038-D1,0.4739
pairwise:base__static_perturb,T1038-D2,0.7040
pairwise:base__static_perturb,T1039-D1,0.6762
pairwise:base__static_perturb,T1046s1-D1,0.7760
pairwise:base__static_perturb,T1046s2-D1,0.7692
pairwise:base__static_perturb,T1049-D1,0.5952
pairwise:base__static_perturb,T1050-D1,0.8304
pairwise:base__static_perturb,T1050-D2,0.8506
pairwise:base__static_perturb,T1050-D3,0.7739
pairwise:base__static_perturb,T1054-D1,0.7809
pairwise:base__static_perturb,T1056-D1,0.7492
pairwise:base__static_perturb,T1057-D1,0.8445
pairwise:base__static_perturb,T1064-D1,0.6033
pairwise:base__static_perturb,T1067-D1,0.6457
pairwise:base__static_perturb,T1070-D2,0.7037
pairwise:base__static_perturb,T1073-D1,0.8202
pairwise:base__static_perturb,T1079-D1,0.7429
pairwise:base__static_perturb,T1082-D1,0.8800
pairwise:base__static_perturb,T1089-D1,0.8369
pairwise:base__static_perturb,T1090-D1,0.6248
pairwise:base__static_perturb,T1099-D1,0.6700
pairwise:base__perturb,T1024-D1,0.7565
pairwise:base__perturb,T1024-D2,0.7765
pairwise:base__perturb,T1025-D1,0.8220
pairwise:base__perturb,T1026-D1,0.6490
pairwise:base__perturb,T1030-D1,0.8688
pairwise:base__perturb,T1030-D2,0.7818
pairwise:base__perturb,T1031-D1,0.6171
